"IN","OUT"
1,0.969025
2,1.00067
3,1.03897
4,1.07731
5,1.10883
6,1.12964
7,1.13979
8,1.14189
9,1.13935
10,1.13535
11,1.13237
12,1.132
13,1.13491
14,1.14085
15,1.14868
16,1.15651
17,1.16173
18,1.16094
19,1.15028
20,1.12689
21,1.09102
22,1.04641
23,0.998044
24,0.950125
25,0.90537
26,0.86515
27,0.829779
28,0.798781
29,0.771159
30,0.745701
31,0.721303
32,0.697242
33,0.673346
34,0.650064
35,0.628532
36,0.610702
37,0.599528
38,0.59887
39,0.612636
40,0.642945
41,0.688366
42,0.74407
43,0.80402
44,0.863196
45,0.918417
46,0.968064
47,1.01148
48,1.0485
49,1.07914
50,1.10357
51,1.12207
52,1.13516
53,1.14368
54,1.14892
55,1.15276
56,1.15763
57,1.16615
58,1.1803
59,1.20014
60,1.22274
61,1.24212
62,1.25125
63,1.2454
64,1.22389
65,1.18934
66,1.14567
67,1.09676
68,1.04578
69,0.995083
70,0.946305
71,0.900419
72,0.857778
73,0.818087
74,0.780432
75,0.743516
76,0.70619
77,0.668085
78,0.629911
79,0.593228
80,0.560003
81,0.532385
82,0.512797
83,0.504075
84,0.509323
85,0.531109
86,0.570039
87,0.623624
88,0.686672
89,0.753126
90,0.81786
91,0.877371
92,0.929562
93,0.973234
94,1.00777
95,1.03306
96,1.04955
97,1.05824
98,1.06058
99,1.05843
100,1.054
101,1.04991
102,1.04905
103,1.05427
104,1.06773
105,1.08996
106,1.11895
107,1.14958
108,1.17452
109,1.18721
110,1.18494
111,1.16921
112,1.14393
113,1.11346
114,1.08149
115,1.05083
116,1.02329
117,0.999751
118,0.980117
119,0.963238
120,0.946974
121,0.928502
122,0.905023
123,0.874849
124,0.838371
125,0.798053
126,0.757385
127,0.71979
128,0.688183
129,0.66496
130,0.651958
131,0.650222
132,0.659693
133,0.679115
134,0.706345
135,0.738984
136,0.775012
137,0.813219
138,0.853295
139,0.895509
140,0.939871
141,0.985138
142,1.02863
143,1.06736
144,1.09937
145,1.12428
146,1.14302
147,1.15731
148,1.16924
149,1.18087
150,1.19384
151,1.20912
152,1.22678
153,1.24592
154,1.26473
155,1.28049
156,1.28967
157,1.28819
158,1.27266
159,1.24215
160,1.19899
161,1.14743
162,1.0917
163,1.03501
164,0.979386
165,0.925832
166,0.874615
167,0.825523
168,0.778147
169,0.732126
170,0.687328
171,0.643919
172,0.602336
173,0.563237
174,0.527508
175,0.496352
176,0.471466
177,0.455242
178,0.450871
179,0.461991
180,0.491458
181,0.539414
182,0.602085
183,0.672747
184,0.744188
185,0.810668
186,0.868547
187,0.916023
188,0.952611
189,0.978684
190,0.995146
191,1.00322
192,1.00434
193,1.00018
194,0.992662
195,0.984099
196,0.977258
197,0.975258
198,0.981138
199,0.997053
200,1.0233
201,1.0574
202,1.0937
203,1.12481
204,1.14495
205,1.15243
206,1.14924
207,1.13903
208,1.12554
209,1.11192
210,1.10045
211,1.09249
212,1.08843
213,1.08762
214,1.08839
215,1.08815
216,1.08354
217,1.07088
218,1.04742
219,1.013
220,0.970627
221,0.924913
222,0.880157
223,0.839465
224,0.804737
225,0.776835
226,0.755708
227,0.740523
228,0.729874
229,0.722122
230,0.715788
231,0.709946
232,0.704523
233,0.700517
234,0.700132
235,0.706735
236,0.72418
237,0.755025
238,0.798406
239,0.84981
240,0.903409
241,0.954618
242,1.001
243,1.04186
244,1.07749
245,1.10856
246,1.13572
247,1.15952
248,1.18032
249,1.19843
250,1.2142
251,1.22821
252,1.24135
253,1.25486
254,1.26981
255,1.28589
256,1.30007
257,1.30663
258,1.29992
259,1.27758
260,1.24106
261,1.19384
262,1.13961
263,1.0815
264,1.02187
265,0.962432
266,0.904366
267,0.848463
268,0.79519
269,0.744727
270,0.697009
271,0.651797
272,0.608856
273,0.568216
274,0.530361
275,0.496231
276,0.467154
277,0.444899
278,0.431905
279,0.43145
280,0.447367
281,0.482682
282,0.53721
283,0.605968
284,0.68061
285,0.75294
286,0.817336
287,0.871018
288,0.91321
289,0.944244
290,0.964999
291,0.976633
292,0.980498
293,0.978121
294,0.971222
295,0.961785
296,0.952174
297,0.945227
298,0.944167
299,0.952105
300,0.97107
301,1.00085
302,1.03807
303,1.07641
304,1.10878
305,1.13064
306,1.14138
307,1.14329
308,1.13976
309,1.13411
310,1.12902
311,1.12634
312,1.12696
313,1.13087
314,1.13712
315,1.14394
316,1.14876
317,1.14822
318,1.13845
319,1.11639
320,1.08189
321,1.03829
322,0.990517
323,0.942918
324,0.898425
325,0.858629
326,0.824035
327,0.794304
328,0.768493
329,0.745347
330,0.723621
331,0.702391
332,0.681281
333,0.66059
334,0.641372
335,0.625569
336,0.616168
337,0.617082
338,0.632234
339,0.663636
340,0.70963
341,0.765188
342,0.824261
343,0.882003
344,0.935495
345,0.983386
346,1.02525
347,1.06109
348,1.09106
349,1.11534
350,1.13421
351,1.14813
352,1.15783
353,1.16453
354,1.16999
355,1.17654
356,1.18664
357,1.20193
358,1.22191
359,1.24287
360,1.25833
361,1.26173
362,1.24952
363,1.22218
364,1.18284
365,1.13546
366,1.08365
367,1.03029
368,0.97751
369,0.926741
370,0.878831
371,0.834063
372,0.79215
373,0.752281
374,0.713378
375,0.674596
376,0.635848
377,0.597976
378,0.56249
379,0.531229
380,0.506281
381,0.490136
382,0.485826
383,0.496631
384,0.525012
385,0.5709
386,0.630657
387,0.698022
388,0.766433
389,0.830829
390,0.888083
391,0.936562
392,0.975548
393,1.00491
394,1.02501
395,1.03667
396,1.04114
397,1.04003
398,1.03531
399,1.0293
400,1.02474
401,1.02464
402,1.03184
403,1.04826
404,1.07385
405,1.10565
406,1.13761
407,1.16221
408,1.17393
409,1.17152
410,1.15738
411,1.13555
412,1.11008
413,1.08429
414,1.0606
415,1.04049
416,1.02447
417,1.01205
418,1.00161
419,0.990562
420,0.975699
421,0.953988
422,0.923869
423,0.886298
424,0.844463
425,0.802343
426,0.763509
427,0.730747
428,0.706084
429,0.690788
430,0.685237
431,0.688819
432,0.700036
433,0.716896
434,0.737442
435,0.760278
436,0.784964
437,0.812188
438,0.843545
439,0.880601
440,0.923336
441,0.969187
442,1.01406
443,1.05442
444,1.08854
445,1.11642
446,1.1392
447,1.1585
448,1.17598
449,1.19297
450,1.21029
451,1.22822
452,1.24655
453,1.2647
454,1.28179
455,1.29642
456,1.30618
457,1.30727
458,1.29545
459,1.26852
460,1.22798
461,1.17776
462,1.12203
463,1.06404
464,1.00588
465,0.948707
466,0.893067
467,0.839163
468,0.787076
469,0.73689
470,0.688743
471,0.642827
472,0.599394
473,0.558787
474,0.521542
475,0.48852
476,0.461054
477,0.441104
478,0.431417
479,0.435491
480,0.4569
481,0.497626
482,0.556033
483,0.626314
484,0.700438
485,0.771049
486,0.833178
487,0.884351
488,0.923921
489,0.952331
490,0.970596
491,0.980006
492,0.982012
493,0.97821
494,0.9704
495,0.960686
496,0.951592
497,0.946092
498,0.947388
499,0.958285
500,0.980239
501,1.0123
502,1.05033
503,1.08753
504,1.11712
505,1.13549
506,1.14301
507,1.14252
508,1.13754
509,1.1313
510,1.12625
511,1.12401
512,1.12522
513,1.12958
514,1.13589
515,1.14211
516,1.14546
517,1.14241
518,1.12919
519,1.10338
520,1.06587
521,1.02066
522,0.972719
523,0.92602
524,0.883109
525,0.84525
526,0.812681
527,0.784856
528,0.760692
529,0.738873
530,0.718186
531,0.69782
532,0.677571
533,0.657946
534,0.640256
535,0.626755
536,0.620762
537,0.626352
538,0.647063
539,0.683799
540,0.733579
541,0.790711
542,0.849394
543,0.905477
544,0.956704
545,1.00216
546,1.04167
547,1.07532
548,1.10331
549,1.12584
550,1.14324
551,1.15601
552,1.165
553,1.17156
554,1.17763
555,1.18558
556,1.19769
557,1.21491
558,1.23553
559,1.25458
560,1.2652
561,1.26177
562,1.24248
563,1.20916
564,1.16546
565,1.11524
566,1.06184
567,1.00779
568,0.95492
569,0.904417
570,0.856913
571,0.812496
572,0.77071
573,0.730666
574,0.691375
575,0.652279
576,0.613661
577,0.576627
578,0.542793
579,0.514041
580,0.492576
581,0.481109
582,0.482891
583,0.501126
584,0.537519
585,0.590552
586,0.655133
587,0.724376
588,0.792039
589,0.853813
590,0.907288
591,0.951346
592,0.985637
593,1.01033
594,1.02606
595,1.03388
596,1.03522
597,1.03183
598,1.02582
599,1.01969
600,1.01632
601,1.01878
602,1.02966
603,1.05023
604,1.07933
605,1.11265
606,1.14318
607,1.16382
608,1.17076
609,1.16448
610,1.14828
611,1.12627
612,1.10219
613,1.07896
614,1.0586
615,1.04216
616,1.02971
617,1.02025
618,1.01171
619,1.00112
620,0.985124
621,0.960987
622,0.927999
623,0.888163
624,0.84529
625,0.803402
626,0.765812
627,0.734964
628,0.712502
629,0.699235
630,0.695048
631,0.698902
632,0.709071
633,0.723586
634,0.740758
635,0.759647
636,0.780396
637,0.804338
638,0.833617
639,0.869997
640,0.913112
641,0.959781
642,1.00552
643,1.04677
644,1.08194
645,1.11111
646,1.13543
647,1.1564
648,1.17549
649,1.19381
650,1.212
651,1.23027
652,1.24849
653,1.26631
654,1.2832
655,1.29816
656,1.30909
657,1.31226
658,1.30305
659,1.27872
660,1.24027
661,1.1914
662,1.13627
663,1.07822
664,1.01944
665,0.96125
666,0.904342
667,0.849089
668,0.795712
669,0.744387
670,0.695281
671,0.64856
672,0.604405
673,0.563074
674,0.525008
675,0.490973
676,0.462177
677,0.440407
678,0.428192
679,0.428866
680,0.446127
681,0.482619
682,0.537776
683,0.606617
684,0.681139
685,0.7534
686,0.817749
687,0.871247
688,0.913005
689,0.943369
690,0.963317
691,0.974127
692,0.977232
693,0.974201
694,0.966784
695,0.957002
696,0.947267
697,0.940451
698,0.939752
699,0.94818
700,0.967635
701,0.997831
702,1.0354
703,1.07399
704,1.10657
705,1.12864
706,1.13975
707,1.14227
708,1.13962
709,1.13507
710,1.13123
711,1.12985
712,1.13176
713,1.13683
714,1.14406
715,1.15165
716,1.15705
717,1.15696
718,1.14754
719,1.12569
720,1.09123
721,1.04751
722,0.999488
723,0.95154
724,0.906577
725,0.866142
726,0.830686
727,0.799826
728,0.77261
729,0.747811
730,0.724257
731,0.701121
732,0.678119
733,0.655603
734,0.634626
735,0.617064
736,0.605791
737,0.604632
738,0.617558
739,0.646883
740,0.691419
741,0.746474
742,0.806004
743,0.864909
744,0.919951
745,0.9695
746,1.01292
747,1.05008
748,1.08102
749,1.10591
750,1.12501
751,1.1388
752,1.14806
753,1.15401
754,1.15843
755,1.16368
756,1.17236
757,1.18644
758,1.206
759,1.22812
760,1.24684
761,1.25517
762,1.24847
763,1.22614
764,1.19079
765,1.14636
766,1.09666
767,1.04486
768,0.993279
769,0.943548
770,0.896646
771,0.852949
772,0.812217
773,0.773614
774,0.73593
775,0.698085
776,0.659732
777,0.621552
778,0.585039
779,0.552091
780,0.524809
781,0.505599
782,0.497323
783,0.503154
784,0.525746
785,0.565742
786,0.620553
787,0.684762
788,0.752077
789,0.817224
790,0.876665
791,0.928351
792,0.971189
793,1.00469
794,1.02888
795,1.04431
796,1.05203
797,1.05353
798,1.05067
799,1.04567
800,1.04117
801,1.04007
802,1.04528
803,1.05896
804,1.08165
805,1.11128
806,1.14262
807,1.1683
808,1.18183
809,1.18064
810,1.16632
811,1.14276
812,1.11423
813,1.08438
814,1.05594
815,1.03071
816,1.00951
817,0.992192
818,0.977537
819,0.963314
820,0.946584
821,0.924404
822,0.894966
823,0.858644
824,0.818018
825,0.77674
826,0.738347
827,0.705779
828,0.681362
829,0.666793
830,0.662952
831,0.66966
832,0.685644
833,0.708855
834,0.737053
835,0.7684
836,0.801895
837,0.837522
838,0.875995
839,0.917914
840,0.962546
841,1.00729
842,1.04872
843,1.08423
844,1.11286
845,1.13515
846,1.15261
847,1.16717
848,1.18075
849,1.19493
850,1.21068
851,1.22817
852,1.24685
853,1.26544
854,1.28198
855,1.29377
856,1.29721
857,1.28835
858,1.26466
859,1.22684
860,1.17846
861,1.12389
862,1.06682
863,1.00974
864,0.954054
865,0.900344
866,0.848661
867,0.798802
868,0.750548
869,0.703819
870,0.658734
871,0.615606
872,0.574909
873,0.537295
874,0.50368
875,0.475401
876,0.454408
877,0.443437
878,0.445968
879,0.465548
880,0.504147
881,0.560257
882,0.628447
883,0.701205
884,0.771534
885,0.834475
886,0.887295
887,0.928987
888,0.959682
889,0.980173
890,0.991625
891,0.995419
892,0.993116
893,0.986489
894,0.977624
895,0.969026
896,0.963646
897,0.964663
898,0.974872
899,0.995767
900,1.02653
901,1.06326
902,1.09921
903,1.12735
904,1.14367
905,1.14835
906,1.14427
907,1.13514
908,1.12437
909,1.11465
910,1.10776
911,1.10456
912,1.10489
913,1.10764
914,1.11073
915,1.11125
916,1.10565
917,1.09029
918,1.06309
919,1.02512
920,0.98039
921,0.933684
922,0.88892
923,0.84867
924,0.814297
925,0.786166
926,0.763801
927,0.746086
928,0.731549
929,0.718717
930,0.706482
931,0.694406
932,0.682911
933,0.673435
934,0.668551
935,0.671918
936,0.687545
937,0.717911
938,0.761912
939,0.814809
940,0.870611
941,0.924557
942,0.973984
943,1.01793
944,1.0564
945,1.0898
946,1.11859
947,1.14316
948,1.16382
949,1.18087
950,1.19477
951,1.2063
952,1.21671
953,1.22771
954,1.24105
955,1.25744
956,1.27499
957,1.28866
958,1.29191
959,1.28024
960,1.25308
961,1.213
962,1.1637
963,1.10876
964,1.0511
965,0.992907
966,0.935731
967,0.880621
968,0.828197
969,0.778691
970,0.731976
971,0.687632
972,0.645156
973,0.604297
974,0.565353
975,0.529204
976,0.497149
977,0.470837
978,0.452406
979,0.444712
980,0.451329
981,0.475784
982,0.519659
983,0.580457
984,0.651495
985,0.724557
986,0.792902
987,0.852471
988,0.901485
989,0.939594
990,0.967203
991,0.985139
992,0.994516
993,0.996692
994,0.993253
995,0.986034
996,0.9772
997,0.969342
998,0.9655
999,0.968874
1000,0.982099
1001,1.00616
1002,1.0393
1003,1.07648
1004,1.11049
1005,1.13502
1006,1.14744
1007,1.1489
1008,1.14262
1009,1.13227
1010,1.12107
1011,1.11146
1012,1.10498
1013,1.10222
1014,1.10279
1015,1.10532
1016,1.1075
1017,1.10617
1018,1.09761
1019,1.07842
1020,1.04743
1021,1.00682
1022,0.961053
1023,0.914725
1024,0.871304
1025,0.832967
1026,0.800781
1027,0.774874
1028,0.754591
1029,0.738693
1030,0.725672
1031,0.714104
1032,0.703015
1033,0.692164
1034,0.682241
1035,0.675027
1036,0.673492
1037,0.681554
1038,0.702913
1039,0.738891
1040,0.786883
1041,0.84135
1042,0.896562
1043,0.948562
1044,0.995445
1045,1.03675
1046,1.07274
1047,1.10392
1048,1.13078
1049,1.1537
1050,1.17298
1051,1.18897
1052,1.2022
1053,1.21356
1054,1.22444
1055,1.23657
1056,1.25136
1057,1.26852
1058,1.28477
1059,1.29404
1060,1.29036
1061,1.27102
1062,1.23716
1063,1.1921
1064,1.1396
1065,1.08293
1066,1.02461
1067,0.966513
1068,0.909916
1069,0.85566
1070,0.804193
1071,0.755603
1072,0.709657
1073,0.665905
1074,0.623945
1075,0.583763
1076,0.545916
1077,0.51147
1078,0.481858
1079,0.458908
1080,0.44505
1081,0.443499
1082,0.457978
1083,0.491442
1084,0.543831
1085,0.610548
1086,0.683731
1087,0.755483
1088,0.820216
1089,0.875007
1090,0.91885
1091,0.951839
1092,0.974632
1093,0.988227
1094,0.993872
1095,0.99304
1096,0.987429
1097,0.97901
1098,0.970133
1099,0.963602
1100,0.962593
1101,0.970177
1102,0.988391
1103,1.0171
1104,1.05308
1105,1.09002
1106,1.1207
1107,1.1403
1108,1.14806
1109,1.14628
1110,1.13852
1111,1.12827
1112,1.11841
1113,1.11095
1114,1.10698
1115,1.10663
1116,1.10904
1117,1.11241
1118,1.11407
1119,1.11054
1120,1.09805
1121,1.0739
1122,1.03832
1123,0.994755
1124,0.948011
1125,0.902277
1126,0.860437
1127,0.824134
1128,0.793973
1129,0.769691
1130,0.750333
1131,0.734517
1132,0.720761
1133,0.707854
1134,0.695167
1135,0.682878
1136,0.672136
1137,0.665203
1138,0.665492
1139,0.677074
1140,0.703104
1141,0.743625
1142,0.794766
1143,0.85058
1144,0.905755
1145,0.956987
1146,1.00286
1147,1.04313
1148,1.07813
1149,1.1083
1150,1.13405
1151,1.15571
1152,1.17358
1153,1.18806
1154,1.19985
1155,1.21007
1156,1.22038
1157,1.23265
1158,1.24814
1159,1.26596
1160,1.28204
1161,1.28995
1162,1.28409
1163,1.26249
1164,1.22684
1165,1.18064
1166,1.12762
1167,1.07097
1168,1.01311
1169,0.955816
1170,0.900306
1171,0.847334
1172,0.79725
1173,0.750024
1174,0.705287
1175,0.662495
1176,0.621248
1177,0.581642
1178,0.544394
1179,0.510709
1180,0.482135
1181,0.46063
1182,0.448783
1183,0.449938
1184,0.467756
1185,0.504716
1186,0.559887
1187,0.627919
1188,0.700846
1189,0.771255
1190,0.834171
1191,0.8871
1192,0.929243
1193,0.960749
1194,0.982279
1195,0.994821
1196,0.999638
1197,0.998228
1198,0.992335
1199,0.983999
1200,0.975656
1201,0.970198
1202,0.970813
1203,0.980424
1204,1.0007
1205,1.03093
1206,1.06721
1207,1.10279
1208,1.13062
1209,1.14662
1210,1.15078
1211,1.14586
1212,1.13554
1213,1.12328
1214,1.11185
1215,1.10314
1216,1.09808
1217,1.09667
1218,1.09786
1219,1.09965
1220,1.09916
1221,1.09277
1222,1.07687
1223,1.0494
1224,1.01146
1225,0.96699
1226,0.9207
1227,0.876464
1228,0.836877
1229,0.803379
1230,0.776431
1231,0.755644
1232,0.739952
1233,0.727875
1234,0.717871
1235,0.708723
1236,0.699864
1237,0.69163
1238,0.685436
1239,0.683908
1240,0.690746
1241,0.709812
1242,0.743109
1243,0.788887
1244,0.842043
1245,0.896729
1246,0.948632
1247,0.995565
1248,1.03694
1249,1.07301
1250,1.10435
1251,1.13154
1252,1.15501
1253,1.1751
1254,1.19212
1255,1.20653
1256,1.21904
1257,1.23083
1258,1.24342
1259,1.25814
1260,1.27484
1261,1.29045
1262,1.29913
1263,1.29495
1264,1.27514
1265,1.24082
1266,1.19533
1267,1.1424
1268,1.08527
1269,1.02645
1270,0.967739
1271,0.910425
1272,0.85534
1273,0.802958
1274,0.753426
1275,0.706594
1276,0.662109
1277,0.619632
1278,0.579143
1279,0.541142
1280,0.506623
1281,0.476955
1282,0.453915
1283,0.439897
1284,0.4381
1285,0.452286
1286,0.485529
1287,0.537932
1288,0.604971
1289,0.678674
1290,0.750937
1291,0.816007
1292,0.870894
1293,0.914611
1294,0.947312
1295,0.969732
1296,0.982923
1297,0.988171
1298,0.986961
1299,0.98099
1300,0.97222
1301,0.962984
1302,0.956076
1303,0.954679
1304,0.961906
1305,0.979872
1306,1.00855
1307,1.04481
1308,1.08247
1309,1.11432
1310,1.13547
1311,1.14502
1312,1.14518
1313,1.13942
1314,1.13116
1315,1.12325
1316,1.11767
1317,1.11549
1318,1.11682
1319,1.12081
1320,1.1257
1321,1.1289
1322,1.12702
1323,1.11622
1324,1.09355
1325,1.05892
1326,1.01561
1327,0.96847
1328,0.921813
1329,0.878615
1330,0.840549
1331,0.808219
1332,0.781359
1333,0.759041
1334,0.739937
1335,0.722655
1336,0.706081
